"store","websites","attribute_set","type","sku","name","price","manufacturer","color","description","short_description","size","status","tax_class_id"
"admin","base","Default","simple",10000,"Coalesce: Functioning On Impatience T-Shirt","15.0000","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10001,"Coalesce: Functioning On Impatience T-Shirt","15.0001","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10002,"Coalesce: Functioning On Impatience T-Shirt","15.0002","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10003,"Coalesce: Functioning On Impatience T-Shirt","15.0003","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10004,"Coalesce: Functioning On Impatience T-Shirt","15.0004","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10005,"Coalesce: Functioning On Impatience T-Shirt","15.0005","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10006,"Coalesce: Functioning On Impatience T-Shirt","15.0006","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10007,"Coalesce: Functioning On Impatience T-Shirt","15.0007","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10008,"Coalesce: Functioning On Impatience T-Shirt","15.0008","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10009,"Coalesce: Functioning On Impatience T-Shirt","15.0009","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10010,"Coalesce: Functioning On Impatience T-Shirt","15.0010","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10011,"Coalesce: Functioning On Impatience T-Shirt","15.0011","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10012,"Coalesce: Functioning On Impatience T-Shirt","15.0012","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10013,"Coalesce: Functioning On Impatience T-Shirt","15.0013","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10014,"Coalesce: Functioning On Impatience T-Shirt","15.0014","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10015,"Coalesce: Functioning On Impatience T-Shirt","15.0015","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10016,"Coalesce: Functioning On Impatience T-Shirt","15.0016","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10017,"Coalesce: Functioning On Impatience T-Shirt","15.0017","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10018,"Coalesce: Functioning On Impatience T-Shirt","15.0018","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10019,"Coalesce: Functioning On Impatience T-Shirt","15.0019","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10020,"Coalesce: Functioning On Impatience T-Shirt","15.0020","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10021,"Coalesce: Functioning On Impatience T-Shirt","15.0021","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10022,"Coalesce: Functioning On Impatience T-Shirt","15.0022","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10023,"Coalesce: Functioning On Impatience T-Shirt","15.0023","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10024,"Coalesce: Functioning On Impatience T-Shirt","15.0024","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10025,"Coalesce: Functioning On Impatience T-Shirt","15.0025","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10026,"Coalesce: Functioning On Impatience T-Shirt","15.0026","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10027,"Coalesce: Functioning On Impatience T-Shirt","15.0027","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10028,"Coalesce: Functioning On Impatience T-Shirt","15.0028","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10029,"Coalesce: Functioning On Impatience T-Shirt","15.0029","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10030,"Coalesce: Functioning On Impatience T-Shirt","15.0030","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10031,"Coalesce: Functioning On Impatience T-Shirt","15.0031","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10032,"Coalesce: Functioning On Impatience T-Shirt","15.0032","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10033,"Coalesce: Functioning On Impatience T-Shirt","15.0033","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10034,"Coalesce: Functioning On Impatience T-Shirt","15.0034","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10035,"Coalesce: Functioning On Impatience T-Shirt","15.0035","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10036,"Coalesce: Functioning On Impatience T-Shirt","15.0036","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10037,"Coalesce: Functioning On Impatience T-Shirt","15.0037","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10038,"Coalesce: Functioning On Impatience T-Shirt","15.0038","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10039,"Coalesce: Functioning On Impatience T-Shirt","15.0039","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10040,"Coalesce: Functioning On Impatience T-Shirt","15.0040","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10041,"Coalesce: Functioning On Impatience T-Shirt","15.0041","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10042,"Coalesce: Functioning On Impatience T-Shirt","15.0042","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10043,"Coalesce: Functioning On Impatience T-Shirt","15.0043","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10044,"Coalesce: Functioning On Impatience T-Shirt","15.0044","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10045,"Coalesce: Functioning On Impatience T-Shirt","15.0045","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10046,"Coalesce: Functioning On Impatience T-Shirt","15.0046","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10047,"Coalesce: Functioning On Impatience T-Shirt","15.0047","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10048,"Coalesce: Functioning On Impatience T-Shirt","15.0048","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10049,"Coalesce: Functioning On Impatience T-Shirt","15.0049","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10050,"Coalesce: Functioning On Impatience T-Shirt","15.0050","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10051,"Coalesce: Functioning On Impatience T-Shirt","15.0051","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10052,"Coalesce: Functioning On Impatience T-Shirt","15.0052","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10053,"Coalesce: Functioning On Impatience T-Shirt","15.0053","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10054,"Coalesce: Functioning On Impatience T-Shirt","15.0054","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10055,"Coalesce: Functioning On Impatience T-Shirt","15.0055","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10056,"Coalesce: Functioning On Impatience T-Shirt","15.0056","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10057,"Coalesce: Functioning On Impatience T-Shirt","15.0057","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10058,"Coalesce: Functioning On Impatience T-Shirt","15.0058","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10059,"Coalesce: Functioning On Impatience T-Shirt","15.0059","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10060,"Coalesce: Functioning On Impatience T-Shirt","15.0060","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10061,"Coalesce: Functioning On Impatience T-Shirt","15.0061","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10062,"Coalesce: Functioning On Impatience T-Shirt","15.0062","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10063,"Coalesce: Functioning On Impatience T-Shirt","15.0063","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10064,"Coalesce: Functioning On Impatience T-Shirt","15.0064","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10065,"Coalesce: Functioning On Impatience T-Shirt","15.0065","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10066,"Coalesce: Functioning On Impatience T-Shirt","15.0066","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10067,"Coalesce: Functioning On Impatience T-Shirt","15.0067","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10068,"Coalesce: Functioning On Impatience T-Shirt","15.0068","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10069,"Coalesce: Functioning On Impatience T-Shirt","15.0069","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10070,"Coalesce: Functioning On Impatience T-Shirt","15.0070","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10071,"Coalesce: Functioning On Impatience T-Shirt","15.0071","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10072,"Coalesce: Functioning On Impatience T-Shirt","15.0072","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10073,"Coalesce: Functioning On Impatience T-Shirt","15.0073","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10074,"Coalesce: Functioning On Impatience T-Shirt","15.0074","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10075,"Coalesce: Functioning On Impatience T-Shirt","15.0075","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10076,"Coalesce: Functioning On Impatience T-Shirt","15.0076","Nokia","Black",,,"L","Enabled","Taxable Goods"
"admin","base","Default","simple",10077,"Coalesce: Functioning On Impatience T-Shirt","15.0077","Nokia","Black",,,"L","Enabled","Taxable Goods"
